DATE,BOERUKM
1694-11-01,6.00
1694-12-01,6.00
1695-01-01,4.50
1695-02-01,4.50
1695-03-01,4.50
1695-04-01,4.50
1695-05-01,4.50
1695-06-01,3.00
1695-07-01,3.00
1695-08-01,3.00
1695-09-01,3.00
1695-10-01,3.00
1695-11-01,3.00
1695-12-01,3.00
1696-01-01,3.00
1696-02-01,3.00
1696-03-01,3.00
1696-04-01,3.00
1696-05-01,3.00
1696-06-01,3.00
1696-07-01,3.00
1696-08-01,3.00
1696-09-01,3.00
1696-10-01,3.00
1696-11-01,3.00
1696-12-01,3.00
1697-01-01,3.00
1697-02-01,3.00
1697-03-01,3.00
1697-04-01,3.00
1697-05-01,3.00
1697-06-01,3.00
1697-07-01,3.00
1697-08-01,3.00
1697-09-01,3.00
1697-10-01,3.00
1697-11-01,3.00
1697-12-01,3.00
1698-01-01,3.00
1698-02-01,3.00
1698-03-01,3.00
1698-04-01,3.00
1698-05-01,3.00
1698-06-01,3.00
1698-07-01,3.00
1698-08-01,3.00
1698-09-01,3.00
1698-10-01,3.00
1698-11-01,3.00
1698-12-01,3.00
1699-01-01,3.00
1699-02-01,3.00
1699-03-01,3.00
1699-04-01,3.00
1699-05-01,3.00
1699-06-01,3.00
1699-07-01,4.50
1699-08-01,4.50
1699-09-01,4.50
1699-10-01,4.50
1699-11-01,4.50
1699-12-01,4.50
1700-01-01,4.50
1700-02-01,4.50
1700-03-01,4.50
1700-04-01,4.50
1700-05-01,4.50
1700-06-01,4.50
1700-07-01,4.50
1700-08-01,4.50
1700-09-01,4.50
1700-10-01,4.50
1700-11-01,4.50
1700-12-01,4.50
1701-01-01,4.50
1701-02-01,4.50
1701-03-01,4.50
1701-04-01,4.50
1701-05-01,4.50
1701-06-01,4.50
1701-07-01,4.50
1701-08-01,4.50
1701-09-01,4.50
1701-10-01,4.50
1701-11-01,4.50
1701-12-01,4.50
1702-01-01,4.50
1702-02-01,4.50
1702-03-01,4.50
1702-04-01,4.50
1702-05-01,4.50
1702-06-01,4.50
1702-07-01,4.50
1702-08-01,4.50
1702-09-01,4.50
1702-10-01,4.50
1702-11-01,4.50
1702-12-01,4.50
1703-01-01,4.50
1703-02-01,4.50
1703-03-01,4.50
1703-04-01,4.50
1703-05-01,4.50
1703-06-01,4.50
1703-07-01,4.50
1703-08-01,4.50
1703-09-01,4.50
1703-10-01,4.50
1703-11-01,4.50
1703-12-01,4.50
1704-01-01,4.50
1704-02-01,4.50
1704-03-01,4.50
1704-04-01,4.50
1704-05-01,4.50
1704-06-01,4.50
1704-07-01,4.50
1704-08-01,4.50
1704-09-01,4.50
1704-10-01,4.50
1704-11-01,4.50
1704-12-01,4.50
1705-01-01,4.50
1705-02-01,4.50
1705-03-01,4.50
1705-04-01,4.50
1705-05-01,4.50
1705-06-01,4.50
1705-07-01,4.50
1705-08-01,4.50
1705-09-01,4.50
1705-10-01,4.50
1705-11-01,4.50
1705-12-01,4.50
1706-01-01,4.50
1706-02-01,4.50
1706-03-01,4.50
1706-04-01,4.50
1706-05-01,4.50
1706-06-01,4.50
1706-07-01,4.50
1706-08-01,4.50
1706-09-01,4.50
1706-10-01,4.50
1706-11-01,4.50
1706-12-01,4.50
1707-01-01,4.50
1707-02-01,4.50
1707-03-01,4.50
1707-04-01,4.50
1707-05-01,4.50
1707-06-01,4.50
1707-07-01,4.50
1707-08-01,4.50
1707-09-01,4.50
1707-10-01,4.50
1707-11-01,4.50
1707-12-01,4.50
1708-01-01,4.50
1708-02-01,4.50
1708-03-01,4.50
1708-04-01,4.50
1708-05-01,4.50
1708-06-01,4.50
1708-07-01,4.50
1708-08-01,4.50
1708-09-01,4.50
1708-10-01,4.50
1708-11-01,4.50
1708-12-01,4.50
1709-01-01,4.50
1709-02-01,4.50
1709-03-01,4.50
1709-04-01,4.50
1709-05-01,4.50
1709-06-01,4.50
1709-07-01,4.50
1709-08-01,4.50
1709-09-01,4.50
1709-10-01,4.50
1709-11-01,4.50
1709-12-01,4.50
1710-01-01,4.50
1710-02-01,4.50
1710-03-01,4.50
1710-04-01,4.50
1710-05-01,4.50
1710-06-01,4.50
1710-07-01,4.50
1710-08-01,4.50
1710-09-01,4.50
1710-10-01,4.50
1710-11-01,4.50
1710-12-01,4.50
1711-01-01,4.50
1711-02-01,4.50
1711-03-01,4.50
1711-04-01,4.50
1711-05-01,4.50
1711-06-01,4.50
1711-07-01,4.50
1711-08-01,4.50
1711-09-01,4.50
1711-10-01,4.50
1711-11-01,4.50
1711-12-01,4.50
1712-01-01,4.50
1712-02-01,4.50
1712-03-01,4.50
1712-04-01,4.50
1712-05-01,4.50
1712-06-01,4.50
1712-07-01,4.50
1712-08-01,4.50
1712-09-01,4.50
1712-10-01,4.50
1712-11-01,4.50
1712-12-01,4.50
1713-01-01,4.50
1713-02-01,4.50
1713-03-01,4.50
1713-04-01,4.50
1713-05-01,4.50
1713-06-01,4.50
1713-07-01,4.50
1713-08-01,4.50
1713-09-01,4.50
1713-10-01,4.50
1713-11-01,4.50
1713-12-01,4.50
1714-01-01,4.50
1714-02-01,4.50
1714-03-01,4.50
1714-04-01,4.50
1714-05-01,4.50
1714-06-01,4.50
1714-07-01,4.50
1714-08-01,4.50
1714-09-01,4.50
1714-10-01,4.50
1714-11-01,4.50
1714-12-01,4.50
1715-01-01,4.50
1715-02-01,4.50
1715-03-01,4.50
1715-04-01,4.50
1715-05-01,4.50
1715-06-01,4.50
1715-07-01,4.50
1715-08-01,4.50
1715-09-01,4.50
1715-10-01,4.50
1715-11-01,4.50
1715-12-01,4.50
1716-01-01,4.50
1716-02-01,4.50
1716-03-01,4.50
1716-04-01,4.50
1716-05-01,4.50
1716-06-01,4.50
1716-07-01,4.50
1716-08-01,4.00
1716-09-01,4.00
1716-10-01,4.00
1716-11-01,4.00
1716-12-01,4.00
1717-01-01,4.00
1717-02-01,4.00
1717-03-01,4.00
1717-04-01,4.00
1717-05-01,4.00
1717-06-01,4.00
1717-07-01,4.00
1717-08-01,4.00
1717-09-01,4.00
1717-10-01,4.00
1717-11-01,4.00
1717-12-01,4.00
1718-01-01,4.00
1718-02-01,4.00
1718-03-01,4.00
1718-04-01,4.00
1718-05-01,4.00
1718-06-01,4.00
1718-07-01,4.00
1718-08-01,4.00
1718-09-01,4.00
1718-10-01,4.00
1718-11-01,4.00
1718-12-01,4.00
1719-01-01,4.00
1719-02-01,4.00
1719-03-01,4.00
1719-04-01,4.00
1719-05-01,5.00
1719-06-01,5.00
1719-07-01,5.00
1719-08-01,5.00
1719-09-01,5.00
1719-10-01,5.00
1719-11-01,5.00
1719-12-01,5.00
1720-01-01,5.00
1720-02-01,5.00
1720-03-01,5.00
1720-04-01,5.00
1720-05-01,5.00
1720-06-01,5.00
1720-07-01,5.00
1720-08-01,5.00
1720-09-01,5.00
1720-10-01,5.00
1720-11-01,5.00
1720-12-01,5.00
1721-01-01,5.00
1721-02-01,5.00
1721-03-01,5.00
1721-04-01,5.00
1721-05-01,5.00
1721-06-01,5.00
1721-07-01,5.00
1721-08-01,5.00
1721-09-01,5.00
1721-10-01,5.00
1721-11-01,5.00
1721-12-01,5.00
1722-01-01,5.00
1722-02-01,5.00
1722-03-01,5.00
1722-04-01,5.00
1722-05-01,5.00
1722-06-01,5.00
1722-07-01,5.00
1722-08-01,5.00
1722-09-01,5.00
1722-10-01,5.00
1722-11-01,5.00
1722-12-01,5.00
1723-01-01,5.00
1723-02-01,5.00
1723-03-01,5.00
1723-04-01,5.00
1723-05-01,5.00
1723-06-01,5.00
1723-07-01,5.00
1723-08-01,5.00
1723-09-01,5.00
1723-10-01,5.00
1723-11-01,5.00
1723-12-01,5.00
1724-01-01,5.00
1724-02-01,5.00
1724-03-01,5.00
1724-04-01,5.00
1724-05-01,5.00
1724-06-01,5.00
1724-07-01,5.00
1724-08-01,5.00
1724-09-01,5.00
1724-10-01,5.00
1724-11-01,5.00
1724-12-01,5.00
1725-01-01,5.00
1725-02-01,5.00
1725-03-01,5.00
1725-04-01,5.00
1725-05-01,5.00
1725-06-01,5.00
1725-07-01,5.00
1725-08-01,5.00
1725-09-01,5.00
1725-10-01,5.00
1725-11-01,5.00
1725-12-01,5.00
1726-01-01,5.00
1726-02-01,5.00
1726-03-01,5.00
1726-04-01,5.00
1726-05-01,5.00
1726-06-01,5.00
1726-07-01,5.00
1726-08-01,5.00
1726-09-01,5.00
1726-10-01,5.00
1726-11-01,5.00
1726-12-01,5.00
1727-01-01,5.00
1727-02-01,5.00
1727-03-01,5.00
1727-04-01,5.00
1727-05-01,5.00
1727-06-01,5.00
1727-07-01,5.00
1727-08-01,5.00
1727-09-01,5.00
1727-10-01,5.00
1727-11-01,5.00
1727-12-01,5.00
1728-01-01,5.00
1728-02-01,5.00
1728-03-01,5.00
1728-04-01,5.00
1728-05-01,5.00
1728-06-01,5.00
1728-07-01,5.00
1728-08-01,5.00
1728-09-01,5.00
1728-10-01,5.00
1728-11-01,5.00
1728-12-01,5.00
1729-01-01,5.00
1729-02-01,5.00
1729-03-01,5.00
1729-04-01,5.00
1729-05-01,5.00
1729-06-01,5.00
1729-07-01,5.00
1729-08-01,5.00
1729-09-01,5.00
1729-10-01,5.00
1729-11-01,5.00
1729-12-01,5.00
1730-01-01,5.00
1730-02-01,5.00
1730-03-01,5.00
1730-04-01,5.00
1730-05-01,5.00
1730-06-01,5.00
1730-07-01,5.00
1730-08-01,5.00
1730-09-01,5.00
1730-10-01,5.00
1730-11-01,5.00
1730-12-01,5.00
1731-01-01,5.00
1731-02-01,5.00
1731-03-01,5.00
1731-04-01,5.00
1731-05-01,5.00
1731-06-01,5.00
1731-07-01,5.00
1731-08-01,5.00
1731-09-01,5.00
1731-10-01,5.00
1731-11-01,5.00
1731-12-01,5.00
1732-01-01,5.00
1732-02-01,5.00
1732-03-01,5.00
1732-04-01,5.00
1732-05-01,5.00
1732-06-01,5.00
1732-07-01,5.00
1732-08-01,5.00
1732-09-01,5.00
1732-10-01,5.00
1732-11-01,5.00
1732-12-01,5.00
1733-01-01,5.00
1733-02-01,5.00
1733-03-01,5.00
1733-04-01,5.00
1733-05-01,5.00
1733-06-01,5.00
1733-07-01,5.00
1733-08-01,5.00
1733-09-01,5.00
1733-10-01,5.00
1733-11-01,5.00
1733-12-01,5.00
1734-01-01,5.00
1734-02-01,5.00
1734-03-01,5.00
1734-04-01,5.00
1734-05-01,5.00
1734-06-01,5.00
1734-07-01,5.00
1734-08-01,5.00
1734-09-01,5.00
1734-10-01,5.00
1734-11-01,5.00
1734-12-01,5.00
1735-01-01,5.00
1735-02-01,5.00
1735-03-01,5.00
1735-04-01,5.00
1735-05-01,5.00
1735-06-01,5.00
1735-07-01,5.00
1735-08-01,5.00
1735-09-01,5.00
1735-10-01,5.00
1735-11-01,5.00
1735-12-01,5.00
1736-01-01,5.00
1736-02-01,5.00
1736-03-01,5.00
1736-04-01,5.00
1736-05-01,5.00
1736-06-01,5.00
1736-07-01,5.00
1736-08-01,5.00
1736-09-01,5.00
1736-10-01,5.00
1736-11-01,5.00
1736-12-01,5.00
1737-01-01,5.00
1737-02-01,5.00
1737-03-01,5.00
1737-04-01,5.00
1737-05-01,5.00
1737-06-01,5.00
1737-07-01,5.00
1737-08-01,5.00
1737-09-01,5.00
1737-10-01,5.00
1737-11-01,5.00
1737-12-01,5.00
1738-01-01,5.00
1738-02-01,5.00
1738-03-01,5.00
1738-04-01,5.00
1738-05-01,5.00
1738-06-01,5.00
1738-07-01,5.00
1738-08-01,5.00
1738-09-01,5.00
1738-10-01,5.00
1738-11-01,5.00
1738-12-01,5.00
1739-01-01,5.00
1739-02-01,5.00
1739-03-01,5.00
1739-04-01,5.00
1739-05-01,5.00
1739-06-01,5.00
1739-07-01,5.00
1739-08-01,5.00
1739-09-01,5.00
1739-10-01,5.00
1739-11-01,5.00
1739-12-01,5.00
1740-01-01,5.00
1740-02-01,5.00
1740-03-01,5.00
1740-04-01,5.00
1740-05-01,5.00
1740-06-01,5.00
1740-07-01,5.00
1740-08-01,5.00
1740-09-01,5.00
1740-10-01,5.00
1740-11-01,5.00
1740-12-01,5.00
1741-01-01,5.00
1741-02-01,5.00
1741-03-01,5.00
1741-04-01,5.00
1741-05-01,5.00
1741-06-01,5.00
1741-07-01,5.00
1741-08-01,5.00
1741-09-01,5.00
1741-10-01,5.00
1741-11-01,5.00
1741-12-01,5.00
1742-01-01,5.00
1742-02-01,5.00
1742-03-01,5.00
1742-04-01,5.00
1742-05-01,5.00
1742-06-01,5.00
1742-07-01,5.00
1742-08-01,5.00
1742-09-01,5.00
1742-10-01,5.00
1742-11-01,5.00
1742-12-01,5.00
1743-01-01,5.00
1743-02-01,5.00
1743-03-01,5.00
1743-04-01,5.00
1743-05-01,5.00
1743-06-01,5.00
1743-07-01,5.00
1743-08-01,5.00
1743-09-01,5.00
1743-10-01,5.00
1743-11-01,5.00
1743-12-01,5.00
1744-01-01,5.00
1744-02-01,5.00
1744-03-01,5.00
1744-04-01,5.00
1744-05-01,5.00
1744-06-01,5.00
1744-07-01,5.00
1744-08-01,5.00
1744-09-01,5.00
1744-10-01,5.00
1744-11-01,5.00
1744-12-01,5.00
1745-01-01,5.00
1745-02-01,5.00
1745-03-01,5.00
1745-04-01,5.00
1745-05-01,5.00
1745-06-01,5.00
1745-07-01,5.00
1745-08-01,5.00
1745-09-01,5.00
1745-10-01,5.00
1745-11-01,5.00
1745-12-01,5.00
1746-01-01,5.00
1746-02-01,5.00
1746-03-01,5.00
1746-04-01,5.00
1746-05-01,5.00
1746-06-01,5.00
1746-07-01,5.00
1746-08-01,5.00
1746-09-01,5.00
1746-10-01,5.00
1746-11-01,5.00
1746-12-01,5.00
1747-01-01,5.00
1747-02-01,5.00
1747-03-01,5.00
1747-04-01,5.00
1747-05-01,5.00
1747-06-01,5.00
1747-07-01,5.00
1747-08-01,5.00
1747-09-01,5.00
1747-10-01,5.00
1747-11-01,5.00
1747-12-01,5.00
1748-01-01,5.00
1748-02-01,5.00
1748-03-01,5.00
1748-04-01,5.00
1748-05-01,5.00
1748-06-01,5.00
1748-07-01,5.00
1748-08-01,5.00
1748-09-01,5.00
1748-10-01,5.00
1748-11-01,5.00
1748-12-01,5.00
1749-01-01,5.00
1749-02-01,5.00
1749-03-01,5.00
1749-04-01,5.00
1749-05-01,5.00
1749-06-01,5.00
1749-07-01,5.00
1749-08-01,5.00
1749-09-01,5.00
1749-10-01,5.00
1749-11-01,5.00
1749-12-01,5.00
1750-01-01,5.00
1750-02-01,5.00
1750-03-01,5.00
1750-04-01,5.00
1750-05-01,5.00
1750-06-01,5.00
1750-07-01,5.00
1750-08-01,5.00
1750-09-01,5.00
1750-10-01,5.00
1750-11-01,5.00
1750-12-01,5.00
1751-01-01,5.00
1751-02-01,5.00
1751-03-01,5.00
1751-04-01,5.00
1751-05-01,5.00
1751-06-01,5.00
1751-07-01,5.00
1751-08-01,5.00
1751-09-01,5.00
1751-10-01,5.00
1751-11-01,5.00
1751-12-01,5.00
1752-01-01,5.00
1752-02-01,5.00
1752-03-01,5.00
1752-04-01,5.00
1752-05-01,5.00
1752-06-01,5.00
1752-07-01,5.00
1752-08-01,5.00
1752-09-01,5.00
1752-10-01,5.00
1752-11-01,5.00
1752-12-01,5.00
1753-01-01,5.00
1753-02-01,5.00
1753-03-01,5.00
1753-04-01,5.00
1753-05-01,5.00
1753-06-01,5.00
1753-07-01,5.00
1753-08-01,5.00
1753-09-01,5.00
1753-10-01,5.00
1753-11-01,5.00
1753-12-01,5.00
1754-01-01,5.00
1754-02-01,5.00
1754-03-01,5.00
1754-04-01,5.00
1754-05-01,5.00
1754-06-01,5.00
1754-07-01,5.00
1754-08-01,5.00
1754-09-01,5.00
1754-10-01,5.00
1754-11-01,5.00
1754-12-01,5.00
1755-01-01,5.00
1755-02-01,5.00
1755-03-01,5.00
1755-04-01,5.00
1755-05-01,5.00
1755-06-01,5.00
1755-07-01,5.00
1755-08-01,5.00
1755-09-01,5.00
1755-10-01,5.00
1755-11-01,5.00
1755-12-01,5.00
1756-01-01,5.00
1756-02-01,5.00
1756-03-01,5.00
1756-04-01,5.00
1756-05-01,5.00
1756-06-01,5.00
1756-07-01,5.00
1756-08-01,5.00
1756-09-01,5.00
1756-10-01,5.00
1756-11-01,5.00
1756-12-01,5.00
1757-01-01,5.00
1757-02-01,5.00
1757-03-01,5.00
1757-04-01,5.00
1757-05-01,5.00
1757-06-01,5.00
1757-07-01,5.00
1757-08-01,5.00
1757-09-01,5.00
1757-10-01,5.00
1757-11-01,5.00
1757-12-01,5.00
1758-01-01,5.00
1758-02-01,5.00
1758-03-01,5.00
1758-04-01,5.00
1758-05-01,5.00
1758-06-01,5.00
1758-07-01,5.00
1758-08-01,5.00
1758-09-01,5.00
1758-10-01,5.00
1758-11-01,5.00
1758-12-01,5.00
1759-01-01,5.00
1759-02-01,5.00
1759-03-01,5.00
1759-04-01,5.00
1759-05-01,5.00
1759-06-01,5.00
1759-07-01,5.00
1759-08-01,5.00
1759-09-01,5.00
1759-10-01,5.00
1759-11-01,5.00
1759-12-01,5.00
1760-01-01,5.00
1760-02-01,5.00
1760-03-01,5.00
1760-04-01,5.00
1760-05-01,5.00
1760-06-01,5.00
1760-07-01,5.00
1760-08-01,5.00
1760-09-01,5.00
1760-10-01,5.00
1760-11-01,5.00
1760-12-01,5.00
1761-01-01,5.00
1761-02-01,5.00
1761-03-01,5.00
1761-04-01,5.00
1761-05-01,5.00
1761-06-01,5.00
1761-07-01,5.00
1761-08-01,5.00
1761-09-01,5.00
1761-10-01,5.00
1761-11-01,5.00
1761-12-01,5.00
1762-01-01,5.00
1762-02-01,5.00
1762-03-01,5.00
1762-04-01,5.00
1762-05-01,5.00
1762-06-01,5.00
1762-07-01,5.00
1762-08-01,5.00
1762-09-01,5.00
1762-10-01,5.00
1762-11-01,5.00
1762-12-01,5.00
1763-01-01,5.00
1763-02-01,5.00
1763-03-01,5.00
1763-04-01,5.00
1763-05-01,5.00
1763-06-01,5.00
1763-07-01,5.00
1763-08-01,5.00
1763-09-01,5.00
1763-10-01,5.00
1763-11-01,5.00
1763-12-01,5.00
1764-01-01,5.00
1764-02-01,5.00
1764-03-01,5.00
1764-04-01,5.00
1764-05-01,5.00
1764-06-01,5.00
1764-07-01,5.00
1764-08-01,5.00
1764-09-01,5.00
1764-10-01,5.00
1764-11-01,5.00
1764-12-01,5.00
1765-01-01,5.00
1765-02-01,5.00
1765-03-01,5.00
1765-04-01,5.00
1765-05-01,5.00
1765-06-01,5.00
1765-07-01,5.00
1765-08-01,5.00
1765-09-01,5.00
1765-10-01,5.00
1765-11-01,5.00
1765-12-01,5.00
1766-01-01,5.00
1766-02-01,5.00
1766-03-01,5.00
1766-04-01,5.00
1766-05-01,5.00
1766-06-01,5.00
1766-07-01,5.00
1766-08-01,5.00
1766-09-01,5.00
1766-10-01,5.00
1766-11-01,5.00
1766-12-01,5.00
1767-01-01,5.00
1767-02-01,5.00
1767-03-01,5.00
1767-04-01,5.00
1767-05-01,5.00
1767-06-01,5.00
1767-07-01,5.00
1767-08-01,5.00
1767-09-01,5.00
1767-10-01,5.00
1767-11-01,5.00
1767-12-01,5.00
1768-01-01,5.00
1768-02-01,5.00
1768-03-01,5.00
1768-04-01,5.00
1768-05-01,5.00
1768-06-01,5.00
1768-07-01,5.00
1768-08-01,5.00
1768-09-01,5.00
1768-10-01,5.00
1768-11-01,5.00
1768-12-01,5.00
1769-01-01,5.00
1769-02-01,5.00
1769-03-01,5.00
1769-04-01,5.00
1769-05-01,5.00
1769-06-01,5.00
1769-07-01,5.00
1769-08-01,5.00
1769-09-01,5.00
1769-10-01,5.00
1769-11-01,5.00
1769-12-01,5.00
1770-01-01,5.00
1770-02-01,5.00
1770-03-01,5.00
1770-04-01,5.00
1770-05-01,5.00
1770-06-01,5.00
1770-07-01,5.00
1770-08-01,5.00
1770-09-01,5.00
1770-10-01,5.00
1770-11-01,5.00
1770-12-01,5.00
1771-01-01,5.00
1771-02-01,5.00
1771-03-01,5.00
1771-04-01,5.00
1771-05-01,5.00
1771-06-01,5.00
1771-07-01,5.00
1771-08-01,5.00
1771-09-01,5.00
1771-10-01,5.00
1771-11-01,5.00
1771-12-01,5.00
1772-01-01,5.00
1772-02-01,5.00
1772-03-01,5.00
1772-04-01,5.00
1772-05-01,5.00
1772-06-01,5.00
1772-07-01,5.00
1772-08-01,5.00
1772-09-01,5.00
1772-10-01,5.00
1772-11-01,5.00
1772-12-01,5.00
1773-01-01,5.00
1773-02-01,5.00
1773-03-01,5.00
1773-04-01,5.00
1773-05-01,5.00
1773-06-01,5.00
1773-07-01,5.00
1773-08-01,5.00
1773-09-01,5.00
1773-10-01,5.00
1773-11-01,5.00
1773-12-01,5.00
1774-01-01,5.00
1774-02-01,5.00
1774-03-01,5.00
1774-04-01,5.00
1774-05-01,5.00
1774-06-01,5.00
1774-07-01,5.00
1774-08-01,5.00
1774-09-01,5.00
1774-10-01,5.00
1774-11-01,5.00
1774-12-01,5.00
1775-01-01,5.00
1775-02-01,5.00
1775-03-01,5.00
1775-04-01,5.00
1775-05-01,5.00
1775-06-01,5.00
